run_id	batch_idx	role	status	gpu_id	runtime_sec	metric_value	started_at_utc	finished_at_utc	sam_model_level_inst	sam_points_per_side	sam_points_per_batch	sam_crop_n_layers	sam_pred_iou_thresh	sam_stability_score_thresh	result_json	stdout_log	stderr_log	comment
121	7	search	ok	9	153.68022687686607	0.25539749076821827	2026-04-12T04:01:35.491776+00:00	2026-04-12T04:04:09.172730+00:00	13	8	128	0	0.88	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run121.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run121.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run121.stderr.log	adaptive batch 7
114	7	search	ok	1	165.68417467083782	0.24220473442189955	2026-04-12T04:01:35.478374+00:00	2026-04-12T04:04:21.163014+00:00	24	8	128	1	0.92	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run114.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run114.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run114.stderr.log	adaptive batch 7
117	7	search	ok	5	170.23202597675845	0.24505429380446514	2026-04-12T04:01:35.482699+00:00	2026-04-12T04:04:25.715276+00:00	22	24	128	0	0.88	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run117.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run117.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run117.stderr.log	adaptive batch 7
118	7	search	ok	6	173.7560838572681	0.2457424516837312	2026-04-12T04:01:35.483646+00:00	2026-04-12T04:04:29.240126+00:00	22	24	128	0	0.84	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run118.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run118.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run118.stderr.log	adaptive batch 7
115	7	search	ok	3	177.57435131119564	0.25856176479264503	2026-04-12T04:01:35.479165+00:00	2026-04-12T04:04:33.054917+00:00	24	8	256	1	0.92	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run115.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run115.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run115.stderr.log	adaptive batch 7
119	7	search	ok	7	190.6030434430577	0.24836058560562294	2026-04-12T04:01:35.486065+00:00	2026-04-12T04:04:46.089720+00:00	22	24	64	0	0.84	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run119.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run119.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run119.stderr.log	adaptive batch 7
125	8	search	ok	5	43.30405717296526	0.15413757394051025	2026-04-12T04:04:49.870503+00:00	2026-04-12T04:05:33.175148+00:00	22	8	64	0	0.92	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run125.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run125.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run125.stderr.log	adaptive batch 8
128	8	search	ok	8	47.42665169015527	0.17500280252473693	2026-04-12T04:04:49.879319+00:00	2026-04-12T04:05:37.306733+00:00	22	8	128	0	0.84	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run128.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run128.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run128.stderr.log	adaptive batch 8
126	8	search	ok	6	102.8001237004064	0.2539615654034885	2026-04-12T04:04:49.873005+00:00	2026-04-12T04:06:32.674114+00:00	23	16	256	0	0.88	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run126.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run126.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run126.stderr.log	adaptive batch 8
127	8	search	ok	7	104.48251484706998	0.2639136741776334	2026-04-12T04:04:49.874885+00:00	2026-04-12T04:06:34.361086+00:00	24	12	32	0	0.84	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run127.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run127.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run127.stderr.log	adaptive batch 8
123	8	search	ok	3	105.39715941436589	0.25689648381494734	2026-04-12T04:04:49.865725+00:00	2026-04-12T04:06:35.263167+00:00	23	16	256	0	0.84	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run123.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run123.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run123.stderr.log	adaptive batch 8
